ID,Name,StudyHours,Attendance,Marks,Result,Grade,PerformanceScore
2,Student_2,9.6,61,60.0,Pass,C,Average
3,Student_3,7.6,65,80.2,Pass,A,Good
4,Student_4,6.4,73,99.6,Pass,A+,Excellent
5,Student_5,2.4,68,79.7,Pass,B,Good
6,Student_6,2.4,57,73.5,Pass,B,Good
8,Student_8,8.8,70,67.9,Pass,C,Average
9,Student_9,6.4,66,43.6,Pass,D,Poor
10,Student_10,7.4,72,73.7,Pass,B,Good
12,Student_12,9.7,65,50.5,Pass,D,Average
13,Student_13,8.5,55,69.99,Pass,C,Average
14,Student_14,2.9,57,52.1,Pass,D,Average
15,Student_15,2.6,74,72.1,Pass,B,Good
16,Student_16,2.7,67,45.8,Pass,D,Poor
17,Student_17,3.7,74,67.0,Pass,C,Average
18,Student_18,5.7,61,85.4,Pass,A,Excellent
19,Student_19,4.9,64,60.9,Pass,C,Average
26,Student_26,8.1,59,99.5,Pass,A+,Excellent
27,Student_27,2.8,65,95.6,Pass,A+,Excellent
28,Student_28,5.6,56,72.4,Pass,B,Good
29,Student_29,6.3,66,90.5,Pass,A+,Excellent
30,Student_30,1.4,72,71.3,Pass,B,Good
32,Student_32,2.5,70,45.3,Pass,D,Poor
33,Student_33,1.6,71,85.3,Pass,A,Excellent
34,Student_34,9.5,56,47.7,Pass,D,Poor
35,Student_35,9.7,63,89.6,Pass,A,Excellent
36,Student_36,8.3,64,86.9,Pass,A,Excellent
37,Student_37,3.7,56,82.5,Pass,A,Good
38,Student_38,1.9,58,42.2,Pass,D,Poor
41,Student_41,2.1,57,61.6,Pass,C,Average
43,Student_43,1.3,72,96.2,Pass,A+,Excellent
45,Student_45,3.3,67,58.3,Pass,D,Average
50,Student_50,2.7,67,95.2,Pass,A+,Excellent
53,Student_53,9.5,66,91.1,Pass,A+,Excellent
54,Student_54,9.1,63,52.5,Pass,D,Average
56,Student_56,9.3,73,47.0,Pass,D,Poor
61,Student_61,4.5,52,88.4,Pass,A,Excellent
66,Student_66,5.9,72,50.4,Pass,D,Average
69,Student_69,1.7,64,98.5,Pass,A+,Excellent
71,Student_71,8.0,53,89.3,Pass,A,Excellent
73,Student_73,1.0,71,91.7,Pass,A+,Excellent
74,Student_74,8.3,74,95.4,Pass,A+,Excellent
75,Student_75,7.4,62,69.2,Pass,C,Average
76,Student_76,7.6,67,76.4,Pass,B,Good
78,Student_78,1.7,65,50.5,Pass,D,Average
82,Student_82,6.6,51,62.1,Pass,C,Average
87,Student_87,7.6,62,73.0,Pass,B,Good
88,Student_88,6.7,62,97.9,Pass,A+,Excellent
