ID,Name,StudyHours,Attendance,Marks,Result,Grade,PerformanceScore
4,Student_4,6.4,73,99.6,Pass,A+,Excellent
11,Student_11,1.2,86,97.5,Pass,A+,Excellent
18,Student_18,5.7,61,85.4,Pass,A,Excellent
21,Student_21,6.5,90,87.7,Pass,A,Excellent
22,Student_22,2.3,94,95.6,Pass,A+,Excellent
26,Student_26,8.1,59,99.5,Pass,A+,Excellent
27,Student_27,2.8,65,95.6,Pass,A+,Excellent
29,Student_29,6.3,66,90.5,Pass,A+,Excellent
33,Student_33,1.6,71,85.3,Pass,A,Excellent
35,Student_35,9.7,63,89.6,Pass,A,Excellent
36,Student_36,8.3,64,86.9,Pass,A,Excellent
43,Student_43,1.3,72,96.2,Pass,A+,Excellent
50,Student_50,2.7,67,95.2,Pass,A+,Excellent
52,Student_52,8.0,88,99.5,Pass,A+,Excellent
53,Student_53,9.5,66,91.1,Pass,A+,Excellent
55,Student_55,6.4,80,95.8,Pass,A+,Excellent
57,Student_57,1.8,84,89.0,Pass,A,Excellent
59,Student_59,1.4,94,92.7,Pass,A+,Excellent
60,Student_60,3.9,83,92.1,Pass,A+,Excellent
61,Student_61,4.5,52,88.4,Pass,A,Excellent
62,Student_62,3.4,86,87.4,Pass,A,Excellent
69,Student_69,1.7,64,98.5,Pass,A+,Excellent
71,Student_71,8.0,53,89.3,Pass,A,Excellent
73,Student_73,1.0,71,91.7,Pass,A+,Excellent
74,Student_74,8.3,74,95.4,Pass,A+,Excellent
77,Student_77,7.9,82,85.9,Pass,A,Excellent
86,Student_86,3.9,79,97.8,Pass,A+,Excellent
88,Student_88,6.7,62,97.9,Pass,A+,Excellent
100,Student_100,2.0,93,86.8,Pass,A,Excellent
103,Student_103,3.8,79,99.7,Pass,A+,Excellent
106,Student_106,3.2,69,99.0,Pass,A+,Excellent
115,Student_115,6.7,99,99.8,Pass,A+,Excellent
116,Student_116,8.8,53,88.8,Pass,A,Excellent
123,Student_123,3.9,64,93.2,Pass,A+,Excellent
128,Student_128,8.7,53,89.7,Pass,A,Excellent
130,Student_130,5.6,86,86.2,Pass,A,Excellent
136,Student_136,3.9,73,85.6,Pass,A,Excellent
142,Student_142,3.3,53,98.6,Pass,A+,Excellent
143,Student_143,5.5,57,88.1,Pass,A,Excellent
144,Student_144,3.7,69,97.6,Pass,A+,Excellent
149,Student_149,1.5,59,90.7,Pass,A+,Excellent
159,Student_159,3.1,96,87.1,Pass,A,Excellent
160,Student_160,7.6,72,93.5,Pass,A+,Excellent
161,Student_161,4.3,98,97.3,Pass,A+,Excellent
162,Student_162,6.7,58,87.2,Pass,A,Excellent
167,Student_167,3.9,84,90.5,Pass,A+,Excellent
169,Student_169,1.4,67,94.1,Pass,A+,Excellent
173,Student_173,5.6,81,93.7,Pass,A+,Excellent
188,Student_188,6.0,78,97.4,Pass,A+,Excellent
193,Student_193,9.1,61,86.5,Pass,A,Excellent
199,Student_199,9.0,54,85.9,Pass,A,Excellent
203,Student_203,2.5,64,98.1,Pass,A+,Excellent
205,Student_205,6.5,57,86.2,Pass,A,Excellent
211,Student_211,5.9,86,86.5,Pass,A,Excellent
215,Student_215,7.4,54,98.1,Pass,A+,Excellent
216,Student_216,3.1,62,87.9,Pass,A,Excellent
222,Student_222,6.1,78,88.7,Pass,A,Excellent
226,Student_226,3.2,83,95.7,Pass,A+,Excellent
232,Student_232,5.5,55,96.6,Pass,A+,Excellent
236,Student_236,7.5,89,93.2,Pass,A+,Excellent
239,Student_239,6.8,97,89.0,Pass,A,Excellent
240,Student_240,2.6,90,91.7,Pass,A+,Excellent
241,Student_241,9.5,62,90.8,Pass,A+,Excellent
242,Student_242,9.6,92,95.1,Pass,A+,Excellent
244,Student_244,4.3,74,85.3,Pass,A,Excellent
246,Student_246,9.4,85,90.5,Pass,A+,Excellent
248,Student_248,9.7,87,86.6,Pass,A,Excellent
252,Student_252,4.5,94,99.1,Pass,A+,Excellent
253,Student_253,8.7,100,96.2,Pass,A+,Excellent
258,Student_258,7.3,81,89.1,Pass,A,Excellent
261,Student_261,6.5,88,90.4,Pass,A+,Excellent
269,Student_269,4.2,61,92.4,Pass,A+,Excellent
271,Student_271,8.3,51,85.7,Pass,A,Excellent
277,Student_277,8.2,90,99.5,Pass,A+,Excellent
280,Student_280,8.2,80,88.0,Pass,A,Excellent
287,Student_287,5.2,68,87.0,Pass,A,Excellent
290,Student_290,6.3,59,85.7,Pass,A,Excellent
294,Student_294,4.2,77,97.5,Pass,A+,Excellent
299,Student_299,6.6,71,92.6,Pass,A+,Excellent
300,Student_300,1.8,53,99.8,Pass,A+,Excellent
304,Student_304,6.7,99,93.2,Pass,A+,Excellent
312,Student_312,1.7,50,87.7,Pass,A,Excellent
323,Student_323,6.9,61,88.3,Pass,A,Excellent
325,Student_325,9.6,78,89.5,Pass,A,Excellent
330,Student_330,3.2,64,87.1,Pass,A,Excellent
332,Student_332,7.8,100,87.3,Pass,A,Excellent
342,Student_342,5.3,84,99.9,Pass,A+,Excellent
343,Student_343,2.6,62,96.0,Pass,A+,Excellent
347,Student_347,6.7,78,87.1,Pass,A,Excellent
350,Student_350,6.6,81,90.4,Pass,A+,Excellent
359,Student_359,9.5,66,89.9,Pass,A,Excellent
363,Student_363,5.1,70,96.4,Pass,A+,Excellent
366,Student_366,4.5,86,92.4,Pass,A+,Excellent
367,Student_367,9.7,69,90.5,Pass,A+,Excellent
369,Student_369,2.8,68,88.2,Pass,A,Excellent
378,Student_378,1.2,74,85.9,Pass,A,Excellent
382,Student_382,7.3,64,85.1,Pass,A,Excellent
384,Student_384,8.9,65,97.4,Pass,A+,Excellent
390,Student_390,8.3,78,94.4,Pass,A+,Excellent
393,Student_393,4.3,76,85.6,Pass,A,Excellent
395,Student_395,4.1,99,86.6,Pass,A,Excellent
400,Student_400,7.8,73,94.4,Pass,A+,Excellent
405,Student_405,3.9,74,94.0,Pass,A+,Excellent
408,Student_408,1.1,56,97.8,Pass,A+,Excellent
