ID,Name,StudyHours,Attendance,Marks,Result,Grade,PerformanceScore
1,Student_1,4.4,96,59.5,Pass,D,Average
2,Student_2,9.6,61,60.0,Pass,C,Average
3,Student_3,7.6,65,80.2,Pass,A,Good
4,Student_4,6.4,73,99.6,Pass,A+,Excellent
5,Student_5,2.4,68,79.7,Pass,B,Good
6,Student_6,2.4,57,73.5,Pass,B,Good
7,Student_7,1.5,80,83.8,Pass,A,Good
8,Student_8,8.8,70,67.9,Pass,C,Average
9,Student_9,6.4,66,43.6,Pass,D,Poor
10,Student_10,7.4,72,73.7,Pass,B,Good
11,Student_11,1.2,86,97.5,Pass,A+,Excellent
12,Student_12,9.7,65,50.5,Pass,D,Average
13,Student_13,8.5,55,69.99,Pass,C,Average
14,Student_14,2.9,57,52.1,Pass,D,Average
15,Student_15,2.6,74,72.1,Pass,B,Good
16,Student_16,2.7,67,45.8,Pass,D,Poor
17,Student_17,3.7,74,67.0,Pass,C,Average
18,Student_18,5.7,61,85.4,Pass,A,Excellent
19,Student_19,4.9,64,60.9,Pass,C,Average
20,Student_20,3.6,75,79.9,Pass,B,Good
21,Student_21,6.5,90,87.7,Pass,A,Excellent
22,Student_22,2.3,94,95.6,Pass,A+,Excellent
23,Student_23,3.6,75,69.99,Pass,C,Average
24,Student_24,4.3,96,64.0,Pass,C,Average
25,Student_25,5.1,81,49.1,Pass,D,Poor
26,Student_26,8.1,59,99.5,Pass,A+,Excellent
27,Student_27,2.8,65,95.6,Pass,A+,Excellent
28,Student_28,5.6,56,72.4,Pass,B,Good
29,Student_29,6.3,66,90.5,Pass,A+,Excellent
30,Student_30,1.4,72,71.3,Pass,B,Good
31,Student_31,6.5,75,77.4,Pass,B,Good
32,Student_32,2.5,70,45.3,Pass,D,Poor
33,Student_33,1.6,71,85.3,Pass,A,Excellent
34,Student_34,9.5,56,47.7,Pass,D,Poor
35,Student_35,9.7,63,89.6,Pass,A,Excellent
36,Student_36,8.3,64,86.9,Pass,A,Excellent
37,Student_37,3.7,56,82.5,Pass,A,Good
38,Student_38,1.9,58,42.2,Pass,D,Poor
39,Student_39,7.2,100,58.2,Pass,D,Average
40,Student_40,5.0,97,55.8,Pass,D,Average
41,Student_41,2.1,57,61.6,Pass,C,Average
42,Student_42,5.5,99,45.3,Pass,D,Poor
43,Student_43,1.3,72,96.2,Pass,A+,Excellent
44,Student_44,9.2,78,73.2,Pass,B,Good
45,Student_45,3.3,67,58.3,Pass,D,Average
46,Student_46,7.0,80,63.8,Pass,C,Average
47,Student_47,3.8,79,66.8,Pass,C,Average
48,Student_48,5.7,88,76.0,Pass,B,Good
49,Student_49,5.9,84,70.9,Pass,B,Good
50,Student_50,2.7,67,95.2,Pass,A+,Excellent
51,Student_51,9.7,91,69.8,Pass,C,Average
52,Student_52,8.0,88,99.5,Pass,A+,Excellent
53,Student_53,9.5,66,91.1,Pass,A+,Excellent
54,Student_54,9.1,63,52.5,Pass,D,Average
55,Student_55,6.4,80,95.8,Pass,A+,Excellent
56,Student_56,9.3,73,47.0,Pass,D,Poor
57,Student_57,1.8,84,89.0,Pass,A,Excellent
58,Student_58,2.8,93,62.8,Pass,C,Average
59,Student_59,1.4,94,92.7,Pass,A+,Excellent
60,Student_60,3.9,83,92.1,Pass,A+,Excellent
61,Student_61,4.5,52,88.4,Pass,A,Excellent
62,Student_62,3.4,86,87.4,Pass,A,Excellent
63,Student_63,8.5,92,58.3,Pass,D,Average
64,Student_64,4.2,89,44.9,Pass,D,Poor
65,Student_65,3.5,75,64.2,Pass,C,Average
66,Student_66,5.9,72,50.4,Pass,D,Average
67,Student_67,2.3,93,81.7,Pass,A,Good
68,Student_68,8.2,88,60.8,Pass,C,Average
69,Student_69,1.7,64,98.5,Pass,A+,Excellent
70,Student_70,9.9,98,78.5,Pass,B,Good
71,Student_71,8.0,53,89.3,Pass,A,Excellent
72,Student_72,2.8,78,48.0,Pass,D,Poor
73,Student_73,1.0,71,91.7,Pass,A+,Excellent
74,Student_74,8.3,74,95.4,Pass,A+,Excellent
75,Student_75,7.4,62,69.2,Pass,C,Average
76,Student_76,7.6,67,76.4,Pass,B,Good
77,Student_77,7.9,82,85.9,Pass,A,Excellent
78,Student_78,1.7,65,50.5,Pass,D,Average
79,Student_79,4.2,94,70.2,Pass,B,Good
